song_id,title,release,artist_name,year
SOQMMHC12AB0180CB8,Silent Night,Monster Ballads X-Mas,Faster Pussy cat,2003
SOVFVAK12A8C1350D9,Tanssi vaan,Karkuteillä,Karkkiautomaatti,1995
SOGTUKN12AB017F4F1,No One Could Ever,Butter,Hudson Mohawke,2006
SOBNYVR12A8C13558C,Si Vos Querés,De Culo,Yerba Brava,2003
SOHSBXH12A8C13B0DF,Tangle Of Aspens,Rene Ablaze Presents Winter Sessions,Der Mystic,0
SOZVAPQ12A8C13B63C,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",Berwald: Symphonies Nos. 1/2/3/4,David Montgomery,0
SOQVRHI12A6D4FB2D7,We Have Got Love,Strictly The Best Vol. 34,Sasha / Turbulence,0
SOEYRFT12AB018936C,2 Da Beat Ch'yall,Da Bomb,Kris Kross,1993
SOPMIYT12A6D4F851E,Goodbye,Danny Boy,Joseph Locke,0
SOJCFMH12A8C13B0C2,Mama_ mama can't you see ?,March to cadence with the US marines,The Sun Harbor's Chorus-Documentary Recordings,0
SOYGNWH12AB018191E,L'antarctique,Des cobras des tarentules,3 Gars Su'l Sofa,2007
SOLJTLX12AB01890ED,El hijo del pueblo,32 Grandes Éxitos  CD 2,Jorge Negrete,1997
SOQQESG12A58A7AA28,Cold Beer feat. Prince Metropolitan,International Hardcore Superstar,Danny Diablo,0
SOMPVQB12A8C1379BB,Pilots,The Loyal,Tiger Lou,2005
SOGPCJI12A8C13CCA0,N Gana,Afropea 3 - Telling Stories To The Sea,Waldemar Bastos,0
SOSDCFG12AB0184647,6,Lena 20 År,Lena Philipsson,1998
SOBARPM12A8C133DFF,(Looking For) The Heart Of Saturday,Cover Girl,Shawn Colvin,1994
SOKOVRQ12A8C142811,Ethos of Coercion,Descend Into Depravity,Dying Fetus,2009
SOIMMJJ12AF72AD643,Rock-N-Rule,I'm Only A Man (Bonus Track Version),Emery,2007
SOVMBTP12A8C13A8F6,La bola extra,La bola extra,Los Ronaldos,0
SOOUESZ12AB0189AFD,I Made It Over,Let's Celebrate (He Is Risen),Rev. Timothy Wright,0
SOAGMGG12A6D4F9099,Debussy : 12 Etudes : VI Pour les huit doigts,Debussy : 12 Etudes_ Images Sets 1 & 2,Pierre-Laurent Aimard,0
SOGFWVT12A8C137C64,Nervous,Let No One Live Rent Free In Your Head,Nicolette,1996
SOKLPMH12AB01861FA,In The Journey,In The Journey,Martin Sexton,2001
SOEPAIN12A8C1396A7,Fuckin Ethic People (999),Crazeë Musick,Craze,0
SOQMZZI12AB01850D4,Tu Vida Con La Mía,Hoy Quiero Soñar,Christian Castro,0
SOEEHEY12CF5F88FB4,I'm Ready,Honkin' On Bobo,Aerosmith,2004
SOWUMAZ12A67ADE769,Take As Needed,Nerve Damage,Skinlab,2002
